Formula,identifier,MG?
Ag20Al25La55,AM,TRUE
Ag15Al10Mg75,AM,TRUE
Ag25Al10Mg65,AM,TRUE
Ag25Al20Mg55,AM,TRUE
Ag35Al10Mg55,AM,TRUE
Ag35Al20Mg45,AM,TRUE
Ag45Al20Mg35,AM,TRUE
Ag10Ce6Cu84,AM,TRUE
Ag10Ce10Cu80,AM,TRUE
Ag15Ce6Cu79,AM,TRUE
Ag20Ce6Cu74,AM,TRUE
Ag20Ce10Cu70,AM,TRUE
Ag25Ce6Cu69,AM,TRUE
Ag30Ce6Cu64,AM,TRUE
Ag30Ce10Cu60,AM,TRUE
Ag35Ce4Cu61,AM,TRUE
Ag35Ce5Cu60,AM,TRUE
Ag35Ce6Cu59,AM,TRUE
Ag40Ce3Cu57,AM,TRUE
Ag40Ce4Cu56,AM,TRUE
Ag40Ce5Cu55,AM,TRUE
Ag40Ce8Cu52,AM,TRUE
Ag40Ce10Cu50,AM,TRUE
Ag45Ce3Cu52,AM,TRUE
Ag45Ce4Cu51,AM,TRUE
Ag45Ce5Cu50,AM,TRUE
Ag50Ce3Cu47,AM,TRUE
Ag50Ce4Cu46,AM,TRUE
Ag50Ce5Cu45,AM,TRUE
Ag50Ce10Cu40,AM,TRUE
Ag55Ce5Cu40,AM,TRUE
Ag55Ce6Cu39,AM,TRUE
Ag55Ce8Cu37,AM,TRUE
Ag6Ce8Cu86,AC,FALSE
Ag20Ce5Cu75,AC,FALSE
Ag30Ce5Cu65,AC,FALSE
Ag35Ce3Cu62,AC,FALSE
Ag45Ce2Cu53,AC,FALSE
Ag50Ce2Cu48,AC,FALSE
Ag60Ce5Cu35,AC,FALSE
Ag60Ce10Cu30,AC,FALSE
Ag5Ce5Cu90,CR,FALSE
Ag5Ce6Cu89,CR,FALSE
Ag5Ce8Cu87,CR,FALSE
Ag10Ce3Cu87,CR,FALSE
Ag10Ce5Cu85,CR,FALSE
Ag10Ce6Cu84,CR,FALSE
Ag15Ce4Cu81,CR,FALSE
Ag20Ce3Cu77,CR,FALSE
Ag20Ce4Cu76,CR,FALSE
Ag30Ce3Cu67,CR,FALSE
Ag40Ce1Cu59,CR,FALSE
Ag40Ce2Cu58,CR,FALSE
Ag60Ce3Cu37,CR,FALSE
